0	1
1	4
2	10
3	20
4	26
5	36
6	52
7	65
8	82
9	100
10	118
11	136
12	156
13	174
14	197
15	223
16	252
17	278
18	306
19	337
20	364
21	400
22	436
23	465
24	502
25	544
26	581
27	616
28	661
29	707
30	758
31	800
32	850
33	900
34	950
35	1005
36	1058
37	1114
38	1182
39	1246
40	1300
41	1356
42	1404
43	1459
44	1522
45	1593
46	1664
47	1733
48	1799
49	1855
50	1909
51	1956
52	1996
53	2039
54	2081
55	2131
56	2178
57	2221
58	2258
59	2301
60	2335
61	2368
62	2404
63	2433
64	2472
65	2494
66	2524
67	2544
68	2563
69	2580
70	2596
71	2612
72	2629
73	2649
74	2661
75	2673
76	2683
77	2698
78	2715
79	2724
80	2740
81	2762
82	2776
83	2782
84	2790
85	2800
86	2810
87	2817
88	2827
89	2835
90	2846
91	2857
92	2866
93	2872
94	2878
95	2882
96	2883
97	2883
98	2883
99	2883
100	2888
